Time [s],Heating [W],Observed T [K]
3440,3.4688,0.18898
3444,3.4687,0.1896
3448,3.4687,0.1896
3452,3.4688,0.19025
3456,3.4688,0.18994
3460,3.4688,0.19088
3464,3.4688,0.19152
3468,3.4687,0.19215
3472,3.4687,0.19277
3476,3.4687,0.19342
3480,3.4686,0.19277
3484,3.4685,0.19342
3488,3.4685,0.19405
3492,3.4685,0.19469
3496,3.4684,0.19532
3500,3.4685,0.19532
3504,3.4685,0.19596
3508,3.4685,0.19596
3512,3.4685,0.19722
3516,3.4684,0.19722
3520,3.4686,0.19786
3524,3.4687,0.19786
3528,3.4688,0.19786
3532,3.4686,0.19849
3536,3.4685,0.19913
3540,3.4685,0.19976
3544,3.4686,0.20007
3548,3.4686,0.20039
3552,3.4686,0.20103
3556,3.4686,0.20103
3560,3.4686,0.20166
3564,3.4686,0.20166
3568,3.4687,0.2023
3572,3.4688,0.20356
3576,3.4686,0.20293
3580,3.4686,0.20356
3584,3.4686,0.2042
3588,3.4686,0.20483
3592,3.4686,0.20483
3596,3.4686,0.20548
3600,3.4687,0.2061
3604,3.4685,0.2061
3608,3.4684,0.20673
3612,3.4685,0.20737
3616,3.4684,0.20737
3620,3.4684,0.20737
3624,3.4684,0.208
3628,3.4683,0.20865
3632,3.4683,0.20865
3636,3.4684,0.20865
3640,3.4685,0.20927
3644,3.4686,0.2099
3648,3.4687,0.2099
3652,3.4685,0.21054
3656,3.4686,0.21117
3660,3.4686,0.21117
3664,3.4686,0.21117
3668,3.4685,0.21244
3672,3.4685,0.21244
3676,3.4685,0.21307
3680,3.4685,0.21244
3684,3.4686,0.21307
3688,3.4685,0.21371
3692,3.4687,0.21434
3696,3.4687,0.21434
3700,3.4688,0.21499
3704,3.4688,0.21561
3708,3.4687,0.21561
3712,3.4687,0.21624
3716,3.4688,0.21624
3720,3.4688,0.21688
3724,3.4687,0.21688
3728,3.4687,0.21751
3732,3.4687,0.21816
3736,3.4687,0.21847
3740,3.4688,0.21943
3744,3.4689,0.21943
3748,3.4687,0.21878
3752,3.4687,0.22005
3756,3.4687,0.22005
3760,3.4689,0.22068
3764,3.469,0.22068
3768,3.4688,0.22133
3772,3.4689,0.22195
3776,3.4689,0.22195
3780,3.4689,0.22195
3784,3.4689,0.2226
3788,3.469,0.22322
3792,3.469,0.22385
3796,3.4689,0.22385
3800,3.4689,0.22385
3804,3.469,0.2245
3808,3.4689,0.2245
3812,3.4688,0.22512
3816,3.4689,0.22577
3820,3.4689,0.2264
3824,3.4688,0.2264
3828,3.4689,0.22702
3832,3.4688,0.22702
3836,3.4688,0.22702
3840,3.469,0.22767
3844,3.469,0.22767
3848,3.4689,0.22829
3852,3.4689,0.22829
3856,3.4688,0.22894
3860,3.4689,0.22957
3864,3.4688,0.23019
3868,3.4687,0.23019
3872,3.4687,0.23019
3876,3.4687,0.23146
3880,3.4687,0.23146
3884,3.4689,0.23146
3888,3.469,0.23211
3892,3.469,0.23211
3896,3.4688,0.23211
3900,3.4689,0.23274
3904,3.4688,0.23336
3908,3.4688,0.23336
3912,3.4688,0.23401
3916,3.4687,0.23401
3920,3.4688,0.23463
3924,3.4689,0.23528
3928,3.4689,0.23528
3932,3.4688,0.23622
3936,3.469,0.23591
